City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
229,katabu,-4.9333,122.5167,299.55,86,100,0.69,ID,1732229307
230,susuman,62.7833,148.1667,236.34,100,95,0.09,RU,1732229307
231,maracacume,-2.0428,-45.9592,299.43,72,44,3.15,BR,1732229307
232,constitucion,-35.3333,-72.4167,287.16,78,47,3.48,CL,1732229307
233,yaren,-0.5472,166.916,301.02,73,52,6.55,NR,1732229307
234,guerrero negro,27.9769,-114.0611,294.56,34,21,4.71,MX,1732229307
235,el granada,37.5027,-122.4694,291.48,85,100,8.75,US,1732229307
236,canguaretama,-6.38,-35.1289,296.47,87,25,2.03,BR,1732229205
237,cill airne,52.05,-9.5167,271.48,92,61,2.08,IE,1732229170
238,tolanaro,-25.0319,46.9987,296.19,94,20,5.14,MG,1732229307
239,east london,-33.0153,27.9116,294.07,92,33,2.52,ZA,1732229096
240,kone,-21.0595,164.8658,300.47,52,69,3.55,NC,1732229307
241,baoqing,46.3317,132.2111,267.54,87,100,5.34,CN,1732229307
242,uturoa,-16.7333,-151.4333,298.45,66,99,3.89,PF,1732229307
243,aripuana,-9.1667,-60.6333,300.25,71,86,0.67,BR,1732229308
244,peniche,39.3558,-9.3811,290.49,89,100,7.71,PT,1732229140
245,marechal candido rondon,-24.5561,-54.0567,294.78,94,100,2.18,BR,1732229082
246,namibe,-15.1961,12.1522,296.27,66,100,3.11,AO,1732229308
247,santo antonio,-6.3106,-35.4789,296.98,79,17,2.75,BR,1732229308
248,catemaco,18.4167,-95.1167,293.76,83,87,3.83,MX,1732229308
249,jiazi,22.8779,116.067,291.39,79,98,4.15,CN,1732229308
250,phan rang-thap cham,11.5667,108.9833,296.57,86,91,2.75,VN,1732229308
251,gunjur,13.2019,-16.7339,298.19,94,0,1.54,GM,1732229308
252,ilam,26.9167,87.9167,287.03,79,48,2.29,NP,1732229308
253,dossor,47.5272,52.9811,277.29,80,17,9.27,KZ,1732229308
254,darwin,-12.4611,130.8418,300.9,85,40,2.24,AU,1732229308
255,gadzhiyevo,69.2551,33.3362,271.08,86,100,15.07,RU,1732229308
256,sola,-13.8833,167.55,300.47,76,74,5.06,VU,1732229308
257,paredon,16.0333,-93.8667,300.64,64,54,9.67,MX,1732229308
258,otjiwarongo,-20.4637,16.6477,295.44,55,67,1.38,NA,1732229308
259,sosnovo-ozerskoye,52.5249,111.5418,258.42,100,90,1.48,RU,1732229308
260,laojunmiao,39.8333,97.7333,271.27,41,66,1.26,CN,1732229308
261,pacific grove,36.6177,-121.9166,294.46,75,100,8.05,US,1732229087
262,haiku-pauwela,20.9219,-156.3051,299.4,68,40,12.07,US,1732229309
263,puerto baquerizo moreno,-0.9,-89.6,298.7,61,40,7.72,EC,1732229227
264,mount gambier,-37.8333,140.7667,300.65,23,100,2.89,AU,1732229309
265,west end,26.6833,-78.9667,294.94,64,74,10.13,BS,1732229309
266,lichinga,-13.3128,35.2406,292.2,77,0,4.12,MZ,1732229309
267,chinde,26.8212,87.7095,289.6,67,30,2.66,NP,1732229309
268,aasiaat,68.7098,-52.8699,268.13,96,100,4.1,GL,1732229309
269,saint-francois,46.4154,3.9054,274.84,88,100,12.35,FR,1732229309
270,roma,43.2128,-75.4557,276.23,97,100,2.06,US,1732229189
271,fengrun,39.8333,118.1167,277.14,47,0,1.18,CN,1732229309
272,palikir - national government center,6.9248,158.1611,303.62,79,75,5.66,FM,1732229309
273,bubaque,11.2833,-15.8333,301.45,75,4,5.71,GW,1732229309
274,herval,-32.0236,-53.3956,290.42,78,100,5.12,BR,1732229309
275,gannan,47.9147,123.5031,264.97,81,15,2.15,CN,1732229309
276,arkhara,49.4212,130.0842,261.24,83,8,4.22,RU,1732229309
277,alofi,-19.0595,-169.9187,300.09,69,40,6.17,NU,1732229309
278,talcahuano,-36.7167,-73.1167,287.97,67,100,3.6,CL,1732229022
279,yuzhno-kurilsk,44.0306,145.8556,278.87,78,100,3.35,RU,1732229310
280,celestun,20.8667,-90.4,297.86,63,97,6.09,MX,1732229310
281,laguna,38.421,-121.4238,291.58,47,100,4.63,US,1732229310
282,san patricio,28.017,-97.5169,296.12,20,0,2.17,US,1732229310
283,saipan,15.1355,145.701,302.54,78,20,6.69,MP,1732229310
284,saurimo,-9.6608,20.3916,291.59,98,97,1.13,AO,1732229310
285,kuloy,61.0305,42.4925,278.83,83,100,8.58,RU,1732229310
286,mozarlandia,-14.7447,-50.5706,300.3,70,46,1.32,BR,1732229310
287,opuwo,-18.0607,13.84,296.76,64,100,4.14,NA,1732229310
288,inari,68.906,27.0288,269.43,80,100,9.95,FI,1732229310
289,sisimiut,66.9395,-53.6735,267.48,85,70,4.21,GL,1732229310
290,ciudad guayana,8.3533,-62.6528,302.84,52,100,1.84,VE,1732229310
291,forster,-32.1667,152.5167,296.69,75,9,3.66,AU,1732229310
292,ancud,-41.8697,-73.8203,285.64,78,96,2.99,CL,1732229311
293,salekhard,66.53,66.6019,246.99,96,89,0.55,RU,1732229311
294,flying fish cove,-10.4217,105.6791,300.88,76,100,1.19,CX,1732229311
295,malvan,16.0667,73.4667,296.45,54,100,2.69,IN,1732229311
296,poplar bluff,36.757,-90.3929,283.09,42,0,5.14,US,1732229311
297,gay,51.4666,58.4552,265.06,97,28,1.65,RU,1732229311
298,mokhsogollokh,61.4681,128.9203,245.0,100,93,0.86,RU,1732229311
299,rajula,21.05,71.4333,294.2,37,13,3.68,IN,1732229311
300,vadso,70.0744,29.7487,271.24,93,100,15.95,NO,1732229311
301,bang len,14.0219,100.1718,295.54,79,29,3.96,TH,1732229311
302,antofagasta,-23.65,-70.4,291.75,84,100,3.04,CL,1732229311
303,mpika,-11.8343,31.4529,291.16,65,4,0.7,ZM,1732229311
304,kayyerkan,69.3786,87.7439,242.06,99,100,4.76,RU,1732229162
305,alesund,62.4723,6.1549,271.9,92,75,2.57,NO,1732229312
306,ma'rib,15.4591,45.3253,294.53,32,90,2.0,YE,1732229312
307,tatarbunary,45.8373,29.6142,275.0,82,18,3.31,UA,1732229312
308,port lincoln,-34.7333,135.8667,299.75,44,100,7.89,AU,1732229312
309,yaring,6.8662,101.3689,298.78,90,100,4.29,TH,1732229312
310,heroica caborca,30.7167,-112.15,299.75,10,48,5.16,MX,1732229172
311,yung shue wan,22.2333,114.1167,292.41,79,100,0.45,HK,1732229312
312,altay,47.8667,88.1167,267.13,78,64,3.16,CN,1732229312
313,kankan,10.3854,-9.3057,296.93,35,27,0.81,GN,1732229312
314,nova sintra,14.8667,-24.7167,298.27,79,100,8.41,CV,1732229312
315,nykvarn,59.8,18.3,266.14,83,100,4.19,SE,1732229312
316,kilimatinde,-5.85,34.95,296.17,63,93,0.59,TZ,1732229312
317,catia la mar,10.6038,-67.0303,302.26,70,100,2.57,VE,1732229312
318,pecos,31.4229,-103.4932,294.2,24,0,3.09,US,1732229100
319,albertina,-22.2008,-46.6158,293.06,87,79,1.82,BR,1732229312
320,dolores,-36.3132,-57.6792,289.2,78,91,3.74,AR,1732229312
321,cabimas,10.3883,-71.4399,301.68,73,87,1.16,VE,1732229128
322,ghanzi,-21.5667,21.7833,298.24,46,99,5.88,BW,1732229312
323,queenstown,-31.8976,26.8753,289.09,96,46,0.85,ZA,1732229158
324,torghay,49.6339,63.4981,269.64,93,5,1.92,KZ,1732229313
325,volokolamsk,56.0336,35.9694,273.32,97,100,6.76,RU,1732229313
326,selfoss,63.9331,-20.9971,265.03,72,1,3.96,IS,1732229313
327,yigo village,13.5361,144.8886,302.31,80,75,7.2,GU,1732229313
328,teluknaga,-6.0989,106.6381,298.81,83,40,2.57,ID,1732229313
329,santa ana,33.7456,-117.8678,299.7,33,20,3.09,US,1732229313
330,colonia,50.9333,6.95,273.69,85,0,0.51,DE,1732229313
331,bor,56.3567,44.0669,281.11,72,100,12.04,RU,1732229313
332,agua dulce,18.1333,-94.1333,297.26,72,62,7.45,MX,1732229313
333,juneau,58.3019,-134.4197,274.15,100,20,7.2,US,1732229313
334,vorgashor,67.5833,63.95,252.22,96,100,3.06,RU,1732229313
335,sabzevar,36.2126,57.6819,284.13,66,3,2.74,IR,1732229313
336,saint-philippe,-21.3585,55.7679,298.47,90,62,2.37,RE,1732229313
337,arkhangel'sk,64.5401,40.5433,274.21,100,100,7.0,RU,1732229313
338,virginia,37.5481,-77.4467,282.23,53,20,5.14,US,1732229120
339,kingscliff,-28.2667,153.5667,294.04,94,75,4.63,AU,1732229313
340,rongelap,11.1635,166.8941,301.62,81,94,9.26,MH,1732229314
341,badger,64.8,-147.5333,264.08,87,100,0.0,US,1732229314
342,okha,53.5739,142.9478,270.1,84,91,7.62,RU,1732229314
343,puerto deseado,-47.7503,-65.8938,290.19,39,46,9.53,AR,1732229314
344,vallenar,-28.5708,-70.7581,297.28,34,0,2.55,CL,1732229314
345,knyaze-volkonskoye,48.4642,135.4567,268.34,86,100,6.21,RU,1732229314
346,klaksvik,62.2266,-6.589,278.57,56,100,11.04,FO,1732229314
347,nar'yan-mar,67.6713,53.087,262.01,79,100,8.27,RU,1732229314
348,nirgua,10.1553,-68.5663,293.49,98,95,0.49,VE,1732229314
349,lesnikovo,55.2822,65.3175,266.54,91,21,3.45,RU,1732229314
350,carnarvon,-24.8667,113.6333,293.92,67,20,10.07,AU,1732229314
351,leticia,-4.2153,-69.9406,299.18,94,40,1.79,CO,1732229314
352,aykhal,66.0,111.5,261.66,96,100,3.83,RU,1732229314
353,mermoz boabab,14.7065,-17.4758,299.03,78,0,2.06,SN,1732229314
354,pontes e lacerda,-15.2261,-59.3353,299.76,76,90,1.73,BR,1732229314
355,kismayo,-0.3582,42.5454,299.38,85,79,3.67,SO,1732229314
356,minas de marcona,-15.2119,-75.1103,288.84,72,100,4.87,PE,1732229314
357,yeraliyev,43.2,51.65,281.89,61,0,11.6,KZ,1732229314
358,puerto esperanza,-26.0152,-54.6731,295.72,99,99,1.0,AR,1732229124
359,san luis de la loma,17.2706,-100.8939,301.57,77,99,1.02,MX,1732229314
360,nagqu,31.5,92.0,265.24,63,58,1.36,CN,1732229315
361,maragogi,-9.0122,-35.2225,298.9,74,86,4.18,BR,1732229315
362,benjamin constant,-4.3831,-70.0311,299.22,94,100,1.02,BR,1732229315
